,gene,x,y,counts
0,Malat1,0,0,2
1,Arhgef28,0,0,1
2,Zfp740,0,0,1
3,Cgnl1,0,1,1
4,Malat1,0,3,1
5,Golga4,0,3,1
6,Tyw3,0,3,1
7,Sec23a,0,4,1
8,Dusp11,0,5,1
9,Bend5,0,6,1
10,Veph1,0,6,1
11,Atrx,0,7,1
12,Mat2a,0,7,1
13,Tns1,0,7,1
14,Slc4a4,0,7,1
15,Dpm1,0,7,1
16,Hsp90b1,0,8,1
17,Dvl1,0,8,1
18,Lgals3bp,0,8,1
19,Arid4b,0,9,1
20,Slc27a3,0,10,1
21,Malat1,0,11,1
22,Exoc3l4,0,11,1
23,Ncapd3,0,14,1
24,Parva,0,14,1
25,Ppp4r2,0,14,1
26,Itpr1,0,16,1
27,Gm17705,0,16,1
28,Brwd1,0,17,1
29,Ing3,0,17,1
30,Malat1,0,18,1
31,Mier1,0,18,1
32,Slk,0,18,1
33,Palm3,0,18,1
34,Malat1,0,21,1
35,Gadd45g,0,21,1
36,Actb,0,23,1
37,Senp7,0,23,1
38,Ap1ar,0,23,1
39,Ccpg1,0,23,1
40,Malat1,0,27,1
41,Pik3ca,0,27,1
42,Igf2r,0,28,1
43,Tsen54,0,28,1
44,Malat1,0,29,1
45,Pnisr,0,29,1
46,Ndst1,0,29,1
47,Huwe1,0,30,1
48,Dync1li1,0,30,1
49,Large2,0,30,1
50,Cklf,0,30,1
51,Twnk,0,30,1
52,Malat1,0,31,1
53,Myo6,0,31,1
54,Stx5a,0,31,1
55,Chd3,0,31,1
56,Rsrp1,0,32,1
57,Pbrm1,0,32,1
58,Ugt1a6a,0,36,1
59,Galm,0,36,1
60,Lrp2,0,38,1
61,Psmb6,0,38,1
62,Chuk,0,39,1
63,Sbds,0,39,1
64,Eif5b,0,40,1
65,Sun1,0,40,1
66,Ldb1,0,40,1
67,Pcnx,0,40,1
68,Acp6,0,41,1
69,Hook3,0,41,1
70,Nr2c2,0,41,1
71,Ndst2,0,41,1
72,Neat1,0,42,1
73,Per3,0,42,1
74,Slc25a19,0,43,1
75,Kri1,0,43,1
76,Cacybp,0,43,1
77,Tbp,0,43,1
78,Srrm2,0,44,1
79,Thoc1,0,44,1
80,Epb41,0,45,1
81,H2afj,0,45,1
82,Gm15545,0,45,1
83,Ralgapa2,0,45,1
84,4833420G17Rik,0,46,1
85,Galnt3,0,46,1
86,Strbp,0,47,1
87,Fam13a,0,47,1
88,Abcg2,0,48,1
89,Sptbn1,0,48,1
90,Srp72,0,48,1
91,Vapa,0,48,1
92,Nkiras2,0,48,1
93,Slc47a1,0,50,1
94,Syne2,0,50,1
95,Rbm25,0,50,1
96,Fnbp4,0,50,1
97,Dhx8,0,50,1
98,Slc13a1,0,52,1
99,Snhg11,0,53,1
100,Vwa2,0,53,1
101,Srsf5,0,54,1
102,Neat1,0,56,1
103,Nhs,0,56,1
104,Upp2,0,56,1
105,Pcsk5,0,57,1
106,Sfi1,0,57,1
107,Tln1,0,57,1
108,Plekha8,0,57,1
109,Ubr1,0,58,1
110,Scp2,0,59,1
111,Lrp2,0,59,1
112,Clk1,0,61,1
113,Chpt1,0,63,1
114,Pcm1,0,63,1
115,Eci1,0,64,1
116,Trps1,0,65,1
117,Ttll5,0,65,1
118,Kcnq1ot1,0,66,1
119,Aass,0,66,1
120,Qk,0,66,1
121,Malat1,0,67,1
122,Srek1,0,67,1
123,Ttc14,0,67,1
124,Acot4,0,69,1
125,Fut9,0,70,1
126,Kansl3,0,73,1
127,Gabpb2,0,73,1
128,Caskin1,0,73,1
129,Ercc3,0,74,1
130,Xist,0,75,1
131,Ak2,0,75,1
132,Tia1,0,75,1
133,Dnm2,0,77,1
134,Malat1,0,79,1
